,date,isEnabled,name,symbol,type
2021,2017-11-03,True,Western Asset Mortgage Defined Opportunity Fund Inc,DMO,cs
2022,2017-11-03,True,DelMar Pharmaceuticals Inc.,DMPI,cs
2023,2017-11-03,True,Digimarc Corporation,DMRC,cs
2024,2017-11-03,True,DeltaShares S&P International Managed Risk,DMRI,N/A
2025,2017-11-03,True,DeltaShares S&P 500 Managed Risk,DMRL,N/A
2026,2017-11-03,True,DeltaShares S&P 400 Managed Risk,DMRM,N/A
2027,2017-11-03,True,DeltaShares S&P 600 Managed Risk,DMRS,N/A
2028,2017-11-03,True,Dimension Therapeutics Inc.,DMTX,cs
2029,2017-11-03,True,Dun & Bradstreet Corporation (The),DNB,cs
2030,2017-11-03,True,DNB Financial Corp,DNBF,cs
2031,2017-11-03,True,Dividend and Income Fund,DNI,cs
